Cluster,Members - Gene names,Members - Protein IDs
"28S ribosomal subunit, mitochondrial","MRPS31,MRPS24,MRPS30,MRPS28,MRPS17,MRPS7,MRPS16,MRPS23,MRPS18B,MRPS27,MRPS9,MRPS34,DAP3,MRPS15,MRPS11,MRPS36,MRPS5,MRPS35,MRPS10,MRPS22,MRPS12,MRPS6",
"39S ribosomal subunit, mitochondrial","MRPL37,MRPL20,MRPL9,MRPL46,MRPL4,MRPL44,MRPL17,MRPL22,MRPL39,MRPL11,MRPL47,MRPL32,MRPL48,MRPL45,MRPL3,MRPL19,MRPL28,MRPL49,MRPL2,MRPL14,MRPL12,MRPL55,MRPL10,MRPL50,MRPL43,MRPL24,MRPL53",
"40S ribosomal subunit, cytoplasmic","RPS9,RPS18,RPS29,RPS4X,RPS6,RPS15,FAU,RPS26,RPS28,RPS21,RPS23,RPS25,RPS14,RPS16,RPS3,RPSA,RPS2,RPS12,RPS19,RPS27,RPS17,RPS5,RPS20,RPS3A,RPS7,RPS8,RPS10,RPS15A,RPS11,RPS13",
"60S ribosomal subunit, cytoplasmic","RPL10,RPL10A,RPL27,RPL37A,RPL7A,RPL23A,RPL23,RPL31,RPL15,RPL26,RPL18A,RPL11,RPL38,RPL24,RPL36A,RPL36,RPL19,RPL18,RPL32,RPL14,RPL35A,RPL29,RPL34,RPLP0,RPL7,RPL17,RPL13,RPL12,RPL9,RPL22,RPLP1,RPLP2,RPL3,RPL13A,RPL35,RPL27A,RPL5,RPL21,RPL28,RPL30,RPL8,RPL6,RPL4",
Anaphase-promoting complex,"ANAPC1,ANAPC10,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,CDC16,CDC23,CDC27",
AP1 adaptor complex,"AP1B1,AP1G1,AP1M1,AP1S1,AP1S2,AP1S3",
AP2 adaptor complex,"AP2A1,AP2A2,AP2B1,AP2M1,AP2S1",
AP3 adaptor complex,"AP3B1,AP3D1,AP3M1,AP3M2,AP3S1,AP3S2",
AP4 adaptor complex,"AP4B1,AP4E1,AP4M1,AP4S1",
Arp2/3 protein complex,"ACTR2,ACTR3,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5",
CCT complex,"CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,CCT6B,TCP1",
Coatomer complex,"ARCN1,COPA,COPB1,COPB2,COPE,COPG1,COPZ1",
COP9 signalosome complex,"COPS2,COPS3,COPS4,COPS5,COPS6,COPS8,GPS1",
Dynactin complex,"DCTN1,DCTN2,DCTN3,DCTN4,DCTN6,ACTR1A,CAPZA1",
EMC,"EMC1,EMC2,EMC3,EMC4,EMC7,EMC8,EMC10,EMC6,EMC9,EMC5",
F1F0 ATP synthase,"ATP5O,ATP5I,ATPIF1,ATP5A1,ATP5F1,ATP5B,ATP5H,ATP5L,ATP5J",
Glycosylphosphatidylinositol transamidase complex,"PIGT,PIGS,PIGU,PIGK,GPAA1",
MCM complex,"MCM4,MCM6,MCM7,MCM3,MCM2,MCM5",
Multisynthetase complex,"EEF1E1,IARS,DARS,EPRS,AIMP1,KARS,LARS,RARS,AIMP2,MARS",
Nup107-160 subcomplex,"NUP85,NUP37,NUP160,NUP98,NUP107,NUP133,NUP43",
Prefoldin complex,"PFDN1,PFDN2,PFDN4,PFDN5,PFDN6,VBP1",
Proteasome,"PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7",
Replication factor C,"RFC4,RFC2,RFC5,RFC3,RFC1",
Respiratory chain complex I complete,"NDUFB6,NDUFB10,NDUFA10,NDUFA8,NDUFA6,NDUFB11,NDUFB3,NDUFB5,NDUFAB1,NDUFA4,NDUFB9,NDUFB7,NDUFA9,NDUFA5,NDUFV3,NDUFA11,NDUFV1,NDUFA12,NDUFV2,NDUFA7,NDUFS6,NDUFS2,NDUFA2,NDUFS8,NDUFS1,NDUFS3,NDUFS7",
Respiratory chain complex I core,"NDUFV1,NDUFV2,NDUFS1,NDUFS2,NDUFS3,NDUFS7,NDUFS8",
RNA exosome complex,"EXOSC1,EXOSC3,EXOSC8,EXOSC4,EXOSC2,EXOSC10",
RNase MRP complex,"POP1,POP4,POP5,RPP14,RPP25,RPP30,RPP38,RPP40",
Sec6/8 exocyst complex,"EXOC4,EXOC2,EXOC1,EXOC7,EXOC5,EXOC3,EXOC8,EXOC6",
THO complex,"THOC5,THOC2,THOC1,THOC3,THOC6,THOC7",
V-type proton ATPase,"ATP6AP1,ATP6V0A1,ATP6V0A2,ATP6V0A4,ATP6V0D1,ATP6V1A,ATP6V1B2,ATP6V1E1,ATP6V1G1,ATP6V1H",
Wave Regulatory complex,"NCKAP1,CYFIP1,ABI1,BRK1,WASF2",
