Protein ID,Compartment
AT1G04910,Golgi
AT1G05320,ER
AT1G06080,ER
AT1G06890,Golgi
AT1G07810,ER
AT1G08030,Golgi
AT1G08220,Mitochondrion
AT1G08450,ER
AT1G08480,Mitochondrion
AT1G08660,Golgi
AT1G08770,ER
AT1G08820,ER
AT1G09210,ER
AT1G10130,Golgi
AT1G10270,Mitochondrion
AT1G10950,Golgi
AT1G11680,ER
AT1G11890,ER
AT1G14140,Mitochondrion
AT1G14620,Mitochondrion
AT1G14670,Golgi
AT1G14830,PM
AT1G14870,PM
AT1G15110,ER
AT1G16700,Mitochondrion
AT1G17530,Mitochondrion
AT1G18190,Golgi
AT1G18540,Ribosome
AT1G19360,Golgi
AT1G19580,Mitochondrion
AT1G19800,Plastid
AT1G20575,ER
AT1G20830,Plastid
AT1G21750,ER
AT1G24180,Mitochondrion
AT1G24460,PostGolgi
AT1G25260,Ribosome
AT1G25380,Mitochondrion
AT1G26340,Plastid
AT1G26880,Ribosome
AT1G26910,Ribosome
AT1G27320,ER
AT1G27400,Ribosome
AT1G27600,Golgi
AT1G27930,Golgi
AT1G27980,ER
AT1G28490,PostGolgi
AT1G29790,Golgi
AT1G29965,Ribosome
AT1G30000,Golgi
AT1G30400,Vacuole
AT1G30620,Golgi
AT1G31850,Golgi
AT1G32090,PM
AT1G32350,Mitochondrion
AT1G32400,Vacuole
AT1G32990,Plastid
AT1G33140,Ribosome
AT1G33800,Golgi
AT1G35680,Plastid
AT1G41880,Ribosome
AT1G43170,Ribosome
AT1G47260,Mitochondrion
AT1G47420,Mitochondrion
AT1G48350,Plastid
AT1G48830,Ribosome
AT1G49140,Mitochondrion
AT1G49430,ER
AT1G49710,Golgi
AT1G49880,Mitochondrion
AT1G50460,Mitochondrion
AT1G51590,Golgi
AT1G51630,Golgi
AT1G51650,Mitochondrion
AT1G51740,ER
AT1G51980,Mitochondrion
AT1G52400,ER
AT1G52760,PM
AT1G53000,Mitochondrion
AT1G54150,Plastid
AT1G54990,ER
AT1G55190,PostGolgi
AT1G56200,Plastid
AT1G56340,ER
AT1G57860,Ribosome
AT1G58030,Vacuole
AT1G59359,Ribosome
AT1G59610,PM
AT1G59820,Golgi
AT1G59870,PM
AT1G61580,Ribosome
AT1G61770,ER
AT1G61790,ER
AT1G62200,Vacuole
AT1G63010,Vacuole
AT1G63690,PostGolgi
AT1G63900,Plastid
AT1G63940,Mitochondrion
AT1G64090,ER
AT1G64880,Mitochondrion
AT1G64990,Golgi
AT1G65260,Plastid
AT1G66340,ER
AT1G66580,Ribosome
AT1G67350,Mitochondrion
AT1G67430,Ribosome
AT1G67490,ER
AT1G67730,ER
AT1G67785,Mitochondrion
AT1G67960,ER
AT1G68530,ER
AT1G68680,Mitochondrion
AT1G69620,Ribosome
AT1G69840,Vacuole
AT1G70600,Ribosome
AT1G70940,PM
AT1G71990,Golgi
AT1G72020,Mitochondrion
AT1G72170,Mitochondrion
AT1G72370,Ribosome
AT1G72750,Mitochondrion
AT1G74030,Plastid
AT1G74060,Ribosome
AT1G74380,Golgi
AT1G74970,Plastid
AT1G75220,Vacuole
AT1G75350,Plastid
AT1G76090,ER
AT1G76180,PM
AT1G76200,Mitochondrion
AT1G77130,Golgi
AT1G77140,PostGolgi
AT1G77590,Plastid
AT1G77810,Golgi
AT1G77940,Ribosome
AT1G78240,Golgi
AT1G78620,Plastid
AT1G78920,Golgi
AT1G79010,Mitochondrion
AT1G79230,Mitochondrion
AT1G79560,Plastid
AT1G79820,Golgi
AT1G79850,Plastid
AT1G79940,ER
AT1G80230,Mitochondrion
AT1G80270,Mitochondrion
AT1G80310,Vacuole
AT1G80600,Plastid
AT1G80750,Ribosome
AT2G01140,Plastid
AT2G01250,Ribosome
AT2G01350,Plastid
AT2G01830,ER
AT2G02040,Vacuole
AT2G02050,Mitochondrion
AT2G02510,Mitochondrion
AT2G02740,Plastid
AT2G03120,ER
AT2G03220,Golgi
AT2G04030,Plastid
AT2G04390,Ribosome
AT2G05220,Ribosome
AT2G07698,Mitochondrion
AT2G09990,Ribosome
AT2G14720,PostGolgi
AT2G14740,PostGolgi
AT2G15090,ER
AT2G15290,Plastid
AT2G15570,Plastid
AT2G16460,Mitochondrion
AT2G16570,Plastid
AT2G16640,Plastid
AT2G18020,Ribosome
AT2G18960,PM
AT2G19080,Mitochondrion
AT2G19730,Ribosome
AT2G19860,Mitochondrion
AT2G19950,Golgi
AT2G20060,Mitochondrion
AT2G20360,Mitochondrion
AT2G20370,Golgi
AT2G20450,Ribosome
AT2G20530,Mitochondrion
AT2G20690,Plastid
AT2G20800,Mitochondrion
AT2G21170,Plastid
AT2G21410,Vacuole
AT2G21580,Ribosome
AT2G21870,Mitochondrion
AT2G22500,Mitochondrion
AT2G22900,Golgi
AT2G23150,Vacuole
AT2G24120,Plastid
AT2G24170,Golgi
AT2G25110,ER
AT2G26250,ER
AT2G26300,PM
AT2G26650,PM
AT2G27530,Ribosome
AT2G27710,Ribosome
AT2G27720,Ribosome
AT2G27730,Mitochondrion
AT2G27810,PM
AT2G28000,Plastid
AT2G28430,Mitochondrion
AT2G28520,PostGolgi
AT2G28630,ER
AT2G28900,Plastid
AT2G29960,ER
AT2G29990,Mitochondrion
AT2G30490,ER
AT2G30770,ER
AT2G30950,Plastid
AT2G31190,Plastid
AT2G31360,ER
AT2G31490,Mitochondrion
AT2G31530,Plastid
AT2G31610,Ribosome
AT2G32040,Plastid
AT2G32060,Ribosome
AT2G32440,ER
AT2G33040,Mitochondrion
AT2G33220,Mitochondrion
AT2G33800,Plastid
AT2G34480,Ribosome
AT2G35010,Mitochondrion
AT2G35190,PM
AT2G35350,PM
AT2G35610,Golgi
AT2G36160,Ribosome
AT2G36250,Plastid
AT2G36305,ER
AT2G36620,Ribosome
AT2G36910,PM
AT2G37170,PM
AT2G37190,Ribosome
AT2G37270,Ribosome
AT2G37410,Mitochondrion
AT2G37600,Ribosome
AT2G37940,PostGolgi
AT2G38120,PM
AT2G38140,Plastid
AT2G38290,PM
AT2G38290,PM
AT2G38360,Golgi
AT2G38540,PM
AT2G38650,Golgi
AT2G39390,Ribosome
AT2G39450,PostGolgi
AT2G40190,ER
AT2G40380,Golgi
AT2G40510,Ribosome
AT2G40590,Ribosome
AT2G40765,Mitochondrion
AT2G40890,ER
AT2G40940,ER
AT2G41560,Vacuole
AT2G41840,Ribosome
AT2G42210,Mitochondrion
AT2G42710,Mitochondrion
AT2G43030,Plastid
AT2G43330,Vacuole
AT2G43400,Mitochondrion
AT2G43950,Plastid
AT2G44120,Ribosome
AT2G44610,Golgi
AT2G44860,Ribosome
AT2G45010,PostGolgi
AT2G45140,ER
AT2G45200,Golgi
AT2G45290,Plastid
AT2G45710,Ribosome
AT2G45960,PM
AT2G45990,Plastid
AT2G46090,Mitochondrion
AT2G46505,Mitochondrion
AT2G46800,Vacuole
AT2G47000,PM
AT2G47240,ER
AT2G47380,Mitochondrion
AT2G47470,ER
AT2G47510,Mitochondrion
AT2G47610,Ribosome
AT2G47800,Vacuole
AT2G47840,Plastid
AT3G01280,Mitochondrion
AT3G01290,PM
AT3G02080,Ribosome
AT3G02560,Ribosome
AT3G02580,ER
AT3G03050,Golgi
AT3G03100,Mitochondrion
AT3G03530,PM
AT3G04080,Golgi
AT3G04090,ER
AT3G04230,Ribosome
AT3G04400,Ribosome
AT3G04580,ER
AT3G04770,Ribosome
AT3G04840,Ribosome
AT3G04920,Ribosome
AT3G05280,Golgi
AT3G05560,Ribosome
AT3G05590,Ribosome
AT3G05710,PostGolgi
AT3G06310,Mitochondrion
AT3G06510,Plastid
AT3G07110,Ribosome
AT3G07480,Mitochondrion
AT3G07770,Mitochondrion
AT3G08610,Mitochondrion
AT3G08970,ER
AT3G09200,Ribosome
AT3G09260,ER
AT3G09500,Ribosome
AT3G09630,Ribosome
AT3G10110,Mitochondrion
AT3G10410,Vacuole
AT3G11250,Ribosome
AT3G11397,ER
AT3G11510,Ribosome
AT3G11650,Plastid
AT3G11820,PM
AT3G11940,Ribosome
AT3G12260,Mitochondrion
AT3G13120,Plastid
AT3G13580,Ribosome
AT3G14600,Ribosome
AT3G15000,Mitochondrion
AT3G15190,Mitochondrion
AT3G15190,Plastid
AT3G15640,Mitochondrion
AT3G15660,Mitochondrion
AT3G16080,Ribosome
AT3G16480,Mitochondrion
AT3G16620,Plastid
AT3G16780,Ribosome
AT3G17240,Mitochondrion
AT3G17440,PM
AT3G17465,Mitochondrion
AT3G17465,Plastid
AT3G17810,Plastid
AT3G17840,PM
AT3G17970,Plastid
AT3G18410,Mitochondrion
AT3G18480,Golgi
AT3G18490,ER
AT3G18830,PM
AT3G20320,Plastid
AT3G20410,PM
AT3G21160,Golgi
AT3G21190,Golgi
AT3G22230,Ribosome
AT3G22370,Mitochondrion
AT3G22960,Plastid
AT3G23150,ER
AT3G23400,Plastid
AT3G23820,Golgi
AT3G23990,Mitochondrion
AT3G24350,Golgi
AT3G24830,Ribosome
AT3G25520,Ribosome
AT3G25540,ER
AT3G25920,Plastid
AT3G26520,Vacuole
AT3G27220,Golgi
AT3G27240,Mitochondrion
AT3G27280,Mitochondrion
AT3G27380,Mitochondrion
AT3G27620,Mitochondrion
AT3G27850,Plastid
AT3G28500,Ribosome
AT3G28860,PM
AT3G28900,Ribosome
AT3G44330,ER
AT3G44590,Ribosome
AT3G44890,Plastid
AT3G45770,Mitochondrion
AT3G46040,Ribosome
AT3G47200,PM
AT3G47370,Ribosome
AT3G47520,Plastid
AT3G47833,Mitochondrion
AT3G47930,Mitochondrion
AT3G48680,Mitochondrion
AT3G48820,Golgi
AT3G48850,Mitochondrion
AT3G48930,Ribosome
AT3G49010,Ribosome
AT3G49560,Plastid
AT3G49720,Golgi
AT3G49910,Ribosome
AT3G50930,Mitochondrion
AT3G51140,Plastid
AT3G51460,ER
AT3G51550,PM
AT3G51610,PM
AT3G51830,ER
AT3G52150,Plastid
AT3G52190,ER
AT3G52300,Mitochondrion
AT3G52400,PM
AT3G52420,Plastid
AT3G52580,Ribosome
AT3G52730,Mitochondrion
AT3G52750,Plastid
AT3G52850,PostGolgi
AT3G53020,Ribosome
AT3G53420,PM
AT3G53430,Ribosome
AT3G53870,Ribosome
AT3G53890,Ribosome
AT3G54110,Mitochondrion
AT3G54300,PostGolgi
AT3G54960,ER
AT3G55280,Ribosome
AT3G55360,ER
AT3G55740,PM
AT3G55750,Ribosome
AT3G55830,Golgi
AT3G56110,Golgi
AT3G56340,Ribosome
AT3G56950,ER
AT3G57330,Vacuole
AT3G57490,Ribosome
AT3G57650,ER
AT3G57785,Mitochondrion
AT3G58010,Plastid
AT3G58170,Golgi
AT3G59540,Ribosome
AT3G59820,Mitochondrion
AT3G60245,Ribosome
AT3G60600,ER
AT3G60750,Plastid
AT3G60770,Ribosome
AT3G61130,Golgi
AT3G61430,PM
AT3G61990,ER
AT3G62250,Ribosome
AT3G62400,Mitochondrion
AT3G62600,ER
AT3G62720,Golgi
AT3G62790,Mitochondrion
AT3G62830,Golgi
AT3G62870,Ribosome
AT3G62880,Plastid
AT3G63410,Plastid
AT3G63420,PM
AT3G63490,Plastid
AT3G63520,Vacuole
AT4G00100,Ribosome
AT4G00585,Mitochondrion
AT4G00740,Golgi
AT4G00750,Golgi
AT4G00810,Ribosome
AT4G00860,Mitochondrion
AT4G01220,Golgi
AT4G01310,Plastid
AT4G01320,ER
AT4G02195,PostGolgi
AT4G02230,Ribosome
AT4G02510,Plastid
AT4G02580,Mitochondrion
AT4G02820,Mitochondrion
AT4G03520,Plastid
AT4G03550,PM
AT4G03560,Vacuole
AT4G04020,Plastid
AT4G04720,PM
AT4G05020,Mitochondrion
AT4G08390,Mitochondrion
AT4G09800,Ribosome
AT4G10450,Ribosome
AT4G11010,Mitochondrion
AT4G11220,ER
AT4G12420,PM
AT4G13010,Plastid
AT4G13170,Ribosome
AT4G13430,Plastid
AT4G13510,PM
AT4G14320,Ribosome
AT4G14455,Golgi
AT4G14950,ER
AT4G15000,Ribosome
AT4G15955,ER
AT4G16450,Mitochondrion
AT4G16720,Ribosome
AT4G18100,Ribosome
AT4G20110,PostGolgi
AT4G20150,Mitochondrion
AT4G20260,PM
AT4G20940,PM
AT4G21180,ER
AT4G21680,PM
AT4G21790,Vacuole
AT4G22220,Mitochondrion
AT4G22330,ER
AT4G22690,ER
AT4G23430,Plastid
AT4G23630,ER
AT4G24190,ER
AT4G25100,Plastid
AT4G25740,Ribosome
AT4G25890,Ribosome
AT4G26230,Ribosome
AT4G26300,Plastid
AT4G27090,Ribosome
AT4G27720,Golgi
AT4G27860,ER
AT4G27990,Plastid
AT4G28220,Mitochondrion
AT4G28360,Mitochondrion
AT4G28510,Mitochondrion
AT4G29130,Mitochondrion
AT4G29410,Ribosome
AT4G29430,Ribosome
AT4G29480,Mitochondrion
AT4G30010,Mitochondrion
AT4G30190,PM
AT4G30440,Golgi
AT4G30580,Plastid
AT4G30800,Ribosome
AT4G30930,Mitochondrion
AT4G31500,ER
AT4G31600,Golgi
AT4G31700,Ribosome
AT4G31780,Plastid
AT4G31990,Plastid
AT4G32130,ER
AT4G32150,Vacuole
AT4G32470,Mitochondrion
AT4G32520,Plastid
AT4G33410,PostGolgi
AT4G33430,PM
AT4G33520,Plastid
AT4G33865,Ribosome
AT4G33910,Golgi
AT4G34240,Plastid
AT4G34460,PM
AT4G34555,Ribosome
AT4G34620,Plastid
AT4G34640,ER
AT4G34670,Ribosome
AT4G34700,Mitochondrion
AT4G35100,PM
AT4G35630,Plastid
AT4G36130,Ribosome
AT4G36220,ER
AT4G36480,ER
AT4G36890,Golgi
AT4G37410,ER
AT4G37640,ER
AT4G37830,Mitochondrion
AT4G38240,Golgi
AT4G39080,Vacuole
AT4G39200,Ribosome
AT4G39390,Golgi
AT4G39400,PM
AT4G39460,Plastid
AT5G01500,Plastid
AT5G02040,ER
AT5G02450,Ribosome
AT5G02610,Ribosome
AT5G02870,Ribosome
AT5G02960,Ribosome
AT5G03160,ER
AT5G03290,Mitochondrion
AT5G03850,Ribosome
AT5G04800,Ribosome
AT5G05000,Plastid
AT5G05370,Mitochondrion
AT5G05760,Golgi
AT5G05987,ER
AT5G06140,PostGolgi
AT5G07090,Ribosome
AT5G07110,ER
AT5G08080,PM
AT5G08530,Mitochondrion
