Protein ID,Compartment
Q8VDN2,Plasma membrane
Q91XV3,Plasma membrane
B2RXS4,Plasma membrane
E9Q0N0,Plasma membrane
P17426,Plasma membrane
Q3UNH4,Plasma membrane
G5E829,Plasma membrane
P70207,Plasma membrane
Q60902,Plasma membrane
Q6PGJ3,Plasma membrane
P97792,Plasma membrane
F8VPU2,Plasma membrane
P17427,Plasma membrane
Q9Z0P4,Plasma membrane
Q61739,Plasma membrane
P84091,Plasma membrane
P10852,Plasma membrane
P15208,Plasma membrane
Q60751,Plasma membrane
P70206,Plasma membrane
P63094,Plasma membrane
Q9WVL3,Plasma membrane
P97370,Plasma membrane
Q9JKF1,Plasma membrane
Q8R2Y2,Plasma membrane
P97300,Plasma membrane
P18572,Plasma membrane
Q80WG5,Plasma membrane
Q9Z0U0,Plasma membrane
O88952,Plasma membrane
G3UYZ1,Plasma membrane
P43406,Plasma membrane
Q3UJ76,Plasma membrane
Q8R5M8,Plasma membrane
O09044,Plasma membrane
P53986,Plasma membrane
F8VQC9,Plasma membrane
P14094,Plasma membrane
P39688,Plasma membrane
Q9Z127,Plasma membrane
Q8C145,Plasma membrane
Q09143,Plasma membrane
Q8R373,Plasma membrane
Q32NY4,Plasma membrane
Q9Z138,Plasma membrane
P32507,Plasma membrane
Q62165,Plasma membrane
Q6P9J9,Plasma membrane
Q03146,Plasma membrane
Q60738,Plasma membrane
Q61735,Plasma membrane
Q60770,Plasma membrane
P51660,Peroxisome
P24270,Peroxisome
Q9R0H0,Peroxisome
P55096,Peroxisome
Q8C0I1,Peroxisome
Q9R0A0,Peroxisome
Q922J9,Peroxisome
P98192,Peroxisome
Q5XG73,Peroxisome
Q9QXY9,Peroxisome
Q5BL07,Peroxisome
Q99LC9,Peroxisome
P58137,Peroxisome
O70579,Peroxisome
Q9Z210,Peroxisome
Q9D0K1,Peroxisome
Q9ERU9,Nuclear pore complex
Q8BJ71,Nuclear pore complex
Q80U93,Nuclear pore complex
Q6PFD9,Nuclear pore complex
B9EJ54,Nuclear pore complex
Q9QY81,Nuclear pore complex
Q99P88,Nuclear pore complex
Q8R0G9,Nuclear pore complex
Q8BTS4,Nuclear pore complex
Q8BH74,Nuclear pore complex
Q9Z0W3,Nuclear pore complex
Q63850,Nuclear pore complex
Q6ZQH8,Nuclear pore complex
Q8CEC0,Nuclear pore complex
Q8R480,Nuclear pore complex
Q8R332,Nuclear pore complex
Q8R4R6,Nuclear pore complex
Q9CWU9,Nuclear pore complex
P63038,Mitochondrion
P56480,Mitochondrion
Q03265,Mitochondrion
Q60932,Mitochondrion
P38647,Mitochondrion
Q8CAQ8,Mitochondrion
P51881,Mitochondrion
P08249,Mitochondrion
Q60597,Mitochondrion
Q8K411,Mitochondrion
Q91VD9,Mitochondrion
Q9CZN7,Mitochondrion
Q60931,Mitochondrion
Q8CGK3,Mitochondrion
Q9CZ13,Mitochondrion
P05202,Mitochondrion
Q9D0K2,Mitochondrion
O08749,Mitochondrion
Q05920,Mitochondrion
Q8VEM8,Mitochondrion
Q60930,Mitochondrion
P26443,Mitochondrion
Q8QZT1,Mitochondrion
Q9CZU6,Mitochondrion
P97807,Mitochondrion
Q9CQN1,Mitochondrion
Q9CZW5,Mitochondrion
Q9DB77,Mitochondrion
Q9D2G2,Mitochondrion
Q99MR8,Mitochondrion
Q9Z2I9,Mitochondrion
Q99LC5,Mitochondrion
Q9WTP6,Mitochondrion
Q91VA7,Mitochondrion
P35486,Mitochondrion
P67778,Mitochondrion
Q9D051,Mitochondrion
Q8BIJ6,Mitochondrion
Q91VR2,Mitochondrion
P29758,Mitochondrion
Q9CQQ7,Mitochondrion
P19783,Mitochondrion
Q9CQA3,Mitochondrion
Q64433,Mitochondrion
Q3V3R1,Mitochondrion
Q9Z2I0,Mitochondrion
Q8BMF4,Mitochondrion
Q9JHI5,Mitochondrion
Q9DCX2,Mitochondrion
Q8BH95,Mitochondrion
P16332,Mitochondrion
Q3ULD5,Mitochondrion
Q9DC61,Mitochondrion
Q9CR62,Mitochondrion
